basin_id,paradigm,seed,period,kge_base_no_refit,kge_base,kge_tgd2,kge_cn,G_base,F_close,G_tgd2,F_tgd2,frac_snow,snow_stratum,D,G_TGD,F_TGD,F_TGD_star,decay_G_base,decay_G_tgd2
01022500,IC,,test,0.5688573370659598,0.6121408098698831,0.8341928741249299,0.9927587036662744,0.0432834728039233,0.1021074151070953,0.2220520642550468,0.583398909705049,0.245259009248271,S3,0.42390136660031463,0.2653355370589702,0.6259369701658641,0.6259369701658641,0.016394165857122,0.0550367999146683
01031500,IC,,test,0.4245067089664256,0.493158545748814,0.8343850874152998,0.995141095901422,0.0686518367823884,0.1203079210685718,0.3412265416664858,0.6797577755695879,0.291836473001958,S3,0.5706343869349964,0.4098783784488742,0.7182854518291857,0.7182854518291857,0.0236826551659324,0.0068213706591891
01047000,IC,,test,0.4395546843143808,0.5019980400488706,0.8430416580898799,0.9977526895265946,0.0624433557344898,0.1118659600203163,0.3410436180410092,0.6879282290146904,0.280118126940736,S3,0.5581980052122137,0.4034869737754991,0.7228384372712024,0.7228384372712024,0.0369150411070531,0.0068044357103105
01052500,IC,,test,0.1610332451930627,0.3358771368098561,0.8816069510273138,0.994391747558552,0.1748438916167934,0.209806333193336,0.5457298142174577,0.8287284827241601,0.352698254049326,S4,0.8333585023654893,0.7205737058342511,0.8646623317442632,0.8646623317442632,0.0282702573642339,0.0799076110999787
01054200,IC,,test,0.4253868300723238,0.5163947796746549,0.8450051165089172,0.9908261928824406,0.091007949602331,0.1609508562510405,0.3286103368342623,0.6926403431265661,0.299641539662879,S3,0.5654393628101168,0.4196182864365934,0.7421101430773712,0.7421101430773712,0.0344407176425993,0.0038670177430303
01055000,IC,,test,0.3619926773062529,0.4651652592102,0.8664441118857545,0.996919105091249,0.1031725819039471,0.1624953339300663,0.4012788526755545,0.7546327229861142,0.306048851694867,S4,0.6349264277849962,0.5044514345795017,0.7945037605999967,0.7945037605999967,0.01748126022172,-0.0058551867969386
01057000,IC,,test,0.5514818673161426,0.5894258124310651,0.7896291895670141,0.996719377576549,0.0379439451149224,0.0852218068795016,0.200203377135949,0.4915456424273166,0.251157672769098,S3,0.4452375102604065,0.23814732225087154,0.5348770414954169,0.5348770414954169,0.0491423339841954,-0.004096785046681
01073000,IC,,test,0.8385253674628326,0.8578654381847959,0.8950902271815706,0.9912016691835154,0.0193400707219633,0.126673691358764,0.0372247889967747,0.2791798502023971,0.17503243505174,S3,0.1526763017206828,0.056564859718738036,0.37048879938303675,0.37048879938303675,0.0398637490779774,0.0308052011544463
01078000,IC,,test,0.5722809970119838,0.6196062067707592,0.8169861845767241,0.9937889845979916,0.0473252097587754,0.1122759500473732,0.1973799778059649,0.5274961583002071,0.23971852199071,S3,0.4215079875860078,0.24470518756474036,0.5805469760280848,0.5805469760280848,0.0435171411626346,0.0520981861119031
01123000,IC,,test,0.8722274396745772,0.892806013875336,0.924995303615926,0.9966116648214708,0.0205785742007588,0.1654436016822569,0.0321892897405899,0.3100918827366458,0.136053399026134,S2,0.12438422514689362,0.0527678639413488,0.4242327664865196,0.4242327664865196,0.0039657491475171,0.0274206303066526
